id,code,name
5000,HPM 500 01,Independent Study in Health Policy and Management
5001,HPM 502 01,Foundations of Accounting and Valuation
5002,HPM 536 01,Narratives in Health Media on the Social Internet
5003,HPM 542 01,Health of Women and Children
5004,HPM 555 01,Health Policy or Health Care Management Practicum
5005,HPM 555 02,Health Policy or Health Care Management Practicum
5006,HPM 559 01,"Big Data, Privacy, and Public Health Ethics"
5007,HPM 560 01,Health Economics and U.S. Health Policy
5008,HPM 564 01,Vaccination Policy and Politics
5009,HPM 573 01,Advanced Topics in Modeling Health Care Decisions
5009,MGT 681 01,Advanced Topics in Modeling Health Care Decisions
5010,HPM 575 01,Evaluation of Global Health Policies and Programs
5011,HPM 576 01,Comparative Health Care Systems
5012,HPM 583 01,Methods in Health Services Research
5013,HPM 590 01,"Economics, Addiction, and Policy"
5013,ECON 461 01,"Economics, Addiction, and Policy"
5014,HPM 592 01,Mental Health Care Policy in the US
5015,HPM 595 01,Food and Drug Administration Law
5016,HPM 597 01,Capstone Course in Health Policy
5017,HPM 600 01,Independent Study or Directed Readings
5018,HPM 610 01,Applied Area Readings
5019,HPM 618 01,Colloquium in Health Services Research
5020,HPM 620 01,Readings in Health Services Research
5021,HPM 621 01,Managing Social Enterprise Organizations
5022,HPM 630 01,Advanced Readings in Health Services Research
5025,HPM 688 01,Managing Health Care in Complex Systems
5026,HPM 698 01,"Health Care Policy, Finance, and Economics"
5027,HPM 700 01,Colloquium in Health Care Leadership
5028,HPM 995 01,Sustainable Innovations in Health Care
5029,HSAR 110 01,Introduction to the History of Art: Global Decorative Arts
5029,ARCG 110 01,Introduction to the History of Art: Global Decorative Arts
5030,HSAR 160 01,Art and Technology
5031,HSAR 208 01,African Arts and Expressive Cultures
5031,AFAM 184 01,African Arts and Expressive Cultures
5031,AFST 208 01,African Arts and Expressive Cultures
5032,HSAR 237 01,Arts of China
5032,EAST 237 01,Arts of China
5033,HSAR 255 01,Dutch Art and its Worlds
5034,HSAR 257 01,Modernism's Social Life
5036,HSAR 260 01,"A Sense of Place: Sculpture, Public Art, Monuments in and throughout Connecticut"
5036,AFAM 148 01,"A Sense of Place: Sculpture, Public Art, Monuments in and throughout Connecticut"
5037,HSAR 286 01,Renaissance Architecture: A Global History
5038,HSAR 294 01,Caravaggio
5039,HSAR 312 01,"Modern Architecture in a Global Context, 1750-present"
5039,ARCH 312 01,"Modern Architecture in a Global Context, 1750-present"
5040,HSAR 357 01,Arts of Japan I
5043,HSAR 401 01,Critical Approaches to Art History
