id,date,count
2392,09/09,1
2392,09/10,1
2392,09/11,1
2392,09/12,1
2392,09/13,1
2392,09/14,1
2392,09/15,1
2394,09/09,108
2394,09/10,108
2394,09/11,108
2394,09/12,109
2394,09/13,109
2394,09/14,109
2394,09/15,109
2396,09/09,27
2396,09/10,27
2396,09/11,27
2396,09/12,29
2396,09/13,29
2396,09/14,29
2396,09/15,29
2397,09/09,6
2397,09/10,6
2397,09/11,6
2397,09/12,6
2397,09/13,6
2397,09/14,6
2397,09/15,6
2398,09/09,167
2398,09/10,167
2398,09/11,167
2398,09/12,168
2398,09/13,168
2398,09/14,170
2398,09/15,170
2400,09/09,64
2400,09/10,64
2400,09/11,64
2400,09/12,64
2400,09/13,64
2400,09/14,64
2400,09/15,64
2401,09/09,22
2401,09/10,22
2401,09/11,22
2401,09/12,22
2401,09/13,22
2401,09/14,22
2401,09/15,22
2402,09/09,68
2402,09/10,68
2402,09/11,68
2402,09/12,68
2402,09/13,68
2402,09/14,68
2402,09/15,68
2403,09/09,0
2403,09/10,0
2403,09/11,0
2403,09/12,0
2403,09/13,0
2403,09/14,0
2403,09/15,0
2404,09/09,0
2404,09/10,0
2404,09/11,0
2404,09/12,0
2404,09/13,0
2404,09/14,0
2404,09/15,0
2406,09/09,1
2406,09/10,1
2406,09/11,1
2406,09/12,7
2406,09/13,7
2406,09/14,8
2406,09/15,8
2407,09/09,31
2407,09/10,31
2407,09/11,31
2407,09/12,31
2407,09/13,31
2407,09/14,31
2407,09/15,31
2409,09/09,14
2409,09/10,14
2409,09/11,14
2409,09/12,14
2409,09/13,14
2409,09/14,14
2409,09/15,14
2410,09/09,64
2410,09/10,64
2410,09/11,64
2410,09/12,64
2410,09/13,63
2410,09/14,63
2410,09/15,63
2411,09/09,0
2411,09/10,0
2411,09/11,0
2411,09/12,0
2411,09/13,0
2411,09/14,0
2411,09/15,0
2415,09/09,37
2415,09/10,37
2415,09/11,37
2415,09/12,37
2415,09/13,37
2415,09/14,37
2415,09/15,37
2416,09/09,266
2416,09/10,266
2416,09/11,266
2416,09/12,266
2416,09/13,266
2416,09/14,266
2416,09/15,266
2418,09/09,28
2418,09/10,28
2418,09/11,28
2418,09/12,28
2418,09/13,28
2418,09/14,28
2418,09/15,28
2419,09/09,4
2419,09/10,4
2419,09/11,4
2419,09/12,4
2419,09/13,4
2419,09/14,4
2419,09/15,4
2420,09/09,47
2420,09/10,47
2420,09/11,47
2420,09/12,47
2420,09/13,46
2420,09/14,46
2420,09/15,46
2422,09/09,19
2422,09/10,19
2422,09/11,19
2422,09/12,19
2422,09/13,20
2422,09/14,20
2422,09/15,20
2423,09/09,14
2423,09/10,14
2423,09/11,14
2423,09/12,14
2423,09/13,14
2423,09/14,14
2423,09/15,14
2424,09/09,15
2424,09/10,15
2424,09/11,15
2424,09/12,15
2424,09/13,15
2424,09/14,15
2424,09/15,15
2426,09/09,17
2426,09/10,17
2426,09/11,17
2426,09/12,16
2426,09/13,16
2426,09/14,16
2426,09/15,16
2427,09/09,24
2427,09/10,24
2427,09/11,24
2427,09/12,23
2427,09/13,23
2427,09/14,23
2427,09/15,23
2428,09/09,8
2428,09/10,8
2428,09/11,8
2428,09/12,8
2428,09/13,8
2428,09/14,8
2428,09/15,8
2429,09/09,15
2429,09/10,15
2429,09/11,15
2429,09/12,15
2429,09/13,15
2429,09/14,15
2429,09/15,15
2430,09/09,29
2430,09/10,29
2430,09/11,29
2430,09/12,29
2430,09/13,28
2430,09/14,28
2430,09/15,28
2431,09/09,0
2431,09/10,0
2431,09/11,0
2431,09/12,0
2431,09/13,0
2431,09/14,0
2431,09/15,0
2433,09/09,14
2433,09/10,14
2433,09/11,14
2433,09/12,14
2433,09/13,14
2433,09/14,14
2433,09/15,14
2434,09/09,0
2434,09/10,0
2434,09/11,0
2434,09/12,0
2434,09/13,0
2434,09/14,0
2434,09/15,0
2435,09/09,10
2435,09/10,10
2435,09/11,10
2435,09/12,10
2435,09/13,10
2435,09/14,10
2435,09/15,10
2436,09/09,8
2436,09/10,8
2436,09/11,8
2436,09/12,8
2436,09/13,8
2436,09/14,8
2436,09/15,8
2437,09/09,7
2437,09/10,7
2437,09/11,7
2437,09/12,7
2437,09/13,6
2437,09/14,6
2437,09/15,6
2438,09/09,6
2438,09/10,6
2438,09/11,6
2438,09/12,6
2438,09/13,6
2438,09/14,6
2438,09/15,6
2439,09/09,3
2439,09/10,3
2439,09/11,3
2439,09/12,3
2439,09/13,3
2439,09/14,3
2439,09/15,3
2440,09/09,0
2440,09/10,0
2440,09/11,0
2440,09/12,0
2440,09/13,0
2440,09/14,0
2440,09/15,0
2441,09/09,27
2441,09/10,27
2441,09/11,27
2441,09/12,25
2441,09/13,25
2441,09/14,25
2441,09/15,25
2442,09/09,3
2442,09/10,2
2442,09/11,2
2442,09/12,2
2442,09/13,2
2442,09/14,2
2442,09/15,2
2443,09/09,17
2443,09/10,17
2443,09/11,16
2443,09/12,16
2443,09/13,16
2443,09/14,15
2443,09/15,15
2444,09/09,7
2444,09/10,7
2444,09/11,7
2444,09/12,7
2444,09/13,7
2444,09/14,8
2444,09/15,8
2445,09/09,19
2445,09/10,19
2445,09/11,19
2445,09/12,19
2445,09/13,18
2445,09/14,18
2445,09/15,18
2446,09/09,4
2446,09/10,4
2446,09/11,4
2446,09/12,4
2446,09/13,4
2446,09/14,4
2446,09/15,4
2447,09/09,8
2447,09/10,8
2447,09/11,8
2447,09/12,8
2447,09/13,9
2447,09/14,9
2447,09/15,8
2449,09/09,15
2449,09/10,15
2449,09/11,15
2449,09/12,15
2449,09/13,15
2449,09/14,15
2449,09/15,15
2451,09/09,11
2451,09/10,11
2451,09/11,11
2451,09/12,11
2451,09/13,11
2451,09/14,11
2451,09/15,11
2452,09/09,191
2452,09/10,191
2452,09/11,191
2452,09/12,191
2452,09/13,191
2452,09/14,191
2452,09/15,191
2453,09/09,0
2453,09/10,0
2453,09/11,0
2453,09/12,0
2453,09/13,0
2453,09/14,0
2453,09/15,0
2454,09/09,162
2454,09/10,162
2454,09/11,161
2454,09/12,161
2454,09/13,161
2454,09/14,161
2454,09/15,161
2455,09/09,22
2455,09/10,22
2455,09/11,22
2455,09/12,22
2455,09/13,22
2455,09/14,22
2455,09/15,22
2458,09/09,1
2458,09/10,1
2458,09/11,1
2458,09/12,1
2458,09/13,1
2458,09/14,1
2458,09/15,1
2459,09/09,24
2459,09/10,24
2459,09/11,23
2459,09/12,23
2459,09/13,23
2459,09/14,23
2459,09/15,23
2460,09/09,11
2460,09/10,11
2460,09/11,11
2460,09/12,11
2460,09/13,11
2460,09/14,11
2460,09/15,11
2462,09/09,0
2462,09/10,0
2462,09/11,0
2462,09/12,0
2462,09/13,0
2462,09/14,0
2462,09/15,0
2464,09/09,17
2464,09/10,17
2464,09/11,17
2464,09/12,17
2464,09/13,17
2464,09/14,17
2464,09/15,18
2466,09/09,0
2466,09/10,0
2466,09/11,0
2466,09/12,0
2466,09/13,0
2466,09/14,0
2466,09/15,0
2467,09/09,22
2467,09/10,22
2467,09/11,22
2467,09/12,22
2467,09/13,21
2467,09/14,21
2467,09/15,21
2468,09/09,45
2468,09/10,45
2468,09/11,45
2468,09/12,45
2468,09/13,45
2468,09/14,46
2468,09/15,46
2469,09/09,0
2469,09/10,0
2469,09/11,0
2469,09/12,1
2469,09/13,1
2469,09/14,1
2469,09/15,1
2472,09/09,0
2472,09/10,0
2472,09/11,0
2472,09/12,0
2472,09/13,0
2472,09/14,0
2472,09/15,0
2474,09/09,17
2474,09/10,17
2474,09/11,17
2474,09/12,17
2474,09/13,17
2474,09/14,17
2474,09/15,17
2475,09/09,31
2475,09/10,31
2475,09/11,31
2475,09/12,31
2475,09/13,31
2475,09/14,31
2475,09/15,31
2476,09/09,1
2476,09/10,1
2476,09/11,1
2476,09/12,1
2476,09/13,1
2476,09/14,1
2476,09/15,1
2477,09/09,3
2477,09/10,3
2477,09/11,3
2477,09/12,3
2477,09/13,3
2477,09/14,3
2477,09/15,3
2479,09/09,21
2479,09/10,21
2479,09/11,21
2479,09/12,21
2479,09/13,21
2479,09/14,21
2479,09/15,21
2481,09/09,18
2481,09/10,18
2481,09/11,18
2481,09/12,18
2481,09/13,18
2481,09/14,17
2481,09/15,16
2482,09/09,13
2482,09/10,13
2482,09/11,13
2482,09/12,13
2482,09/13,13
2482,09/14,12
2482,09/15,13
2483,09/09,5
2483,09/10,5
2483,09/11,5
2483,09/12,5
2483,09/13,5
2483,09/14,5
2483,09/15,5
2486,09/09,6
2486,09/10,6
2486,09/11,6
2486,09/12,6
2486,09/13,6
2486,09/14,6
2486,09/15,6
2487,09/09,0
2487,09/10,0
2487,09/11,0
2487,09/12,0
2487,09/13,0
2487,09/14,0
2487,09/15,0
2488,09/09,7
2488,09/10,7
2488,09/11,7
2488,09/12,7
2488,09/13,7
2488,09/14,7
2488,09/15,9
2489,09/09,1
2489,09/10,1
2489,09/11,1
2489,09/12,1
2489,09/13,1
2489,09/14,1
2489,09/15,1
2490,09/09,0
2490,09/10,0
2490,09/11,0
2490,09/12,0
2490,09/13,0
2490,09/14,0
2490,09/15,0
2492,09/09,8
2492,09/10,8
2492,09/11,8
2492,09/12,8
2492,09/13,8
2492,09/14,8
2492,09/15,8
2493,09/09,14
2493,09/10,14
2493,09/11,14
2493,09/12,14
2493,09/13,14
2493,09/14,14
2493,09/15,14
2497,09/09,18
2497,09/10,18
2497,09/11,18
2497,09/12,18
2497,09/13,18
2497,09/14,18
2497,09/15,18
2498,09/09,12
2498,09/10,12
2498,09/11,12
2498,09/12,12
2498,09/13,12
2498,09/14,12
2498,09/15,12
2499,09/09,21
2499,09/10,21
2499,09/11,21
2499,09/12,21
2499,09/13,21
2499,09/14,21
2499,09/15,21
2500,09/09,15
2500,09/10,15
2500,09/11,15
2500,09/12,15
2500,09/13,15
2500,09/14,15
2500,09/15,15
2501,09/09,14
2501,09/10,14
2501,09/11,14
2501,09/12,14
2501,09/13,14
2501,09/14,14
2501,09/15,14
2502,09/09,18
2502,09/10,18
2502,09/11,18
2502,09/12,18
2502,09/13,18
2502,09/14,18
2502,09/15,18
2503,09/09,100
2503,09/10,100
2503,09/11,100
2503,09/12,98
2503,09/13,99
2503,09/14,99
2503,09/15,100
2506,09/09,0
2506,09/10,0
2506,09/11,0
2506,09/12,0
2506,09/13,0
2506,09/14,0
2506,09/15,0
2510,09/09,15
2510,09/10,15
2510,09/11,15
2510,09/12,15
2510,09/13,15
2510,09/14,15
2510,09/15,15
2512,09/09,19
2512,09/10,19
2512,09/11,19
2512,09/12,19
2512,09/13,19
2512,09/14,19
2512,09/15,19
2516,09/09,0
2516,09/10,0
