id,code,name
2392,HPM 500 01,Independent Study in Health Policy and Management
2394,HPM 514 01,"Health Politics, Governance, and Policy"
2396,HPM 541E 01,Leading Transformational Change
2397,HPM 556 01,Advanced Health Policy Practicum
2398,HPM 570 01,Cost-Effectiveness Analysis and Decision-Making
2400,HPM 586 01,Microeconomics for Health Policy and Health Management
2401,HPM 587 01,Advanced Health Economics
2402,HPM 588 01,Public Health Law
2403,HPM 595 01,Food and Drug Administration Law
2404,HPM 600 01,Independent Study or Directed Readings
2406,HPM 617 01,Colloquium in Health Services Research
2407,HPM 697 01,Health Policy Leadership Seminar
2409,HSAR 002 01,Furniture and American Life
2409,AMST 007 01,Furniture and American Life
2410,HSAR 119 01,Introduction to the History of Art: Asian Art and Culture
2410,EAST 119 01,Introduction to the History of Art: Asian Art and Culture
2411,HSAR 213 01,American Photojournalism
2415,HSAR 240 01,London Art Capital: Black Death to Brexit
2416,HSAR 247 01,Art and Myth in Greek Antiquity
2416,ARCG 161 01,Art and Myth in Greek Antiquity
2416,CLCV 161 01,Art and Myth in Greek Antiquity
2418,HSAR 273 01,Art of Gothic Cathedrals
2419,HSAR 275 01,The Body in Indian Art
2419,SAST 262 01,The Body in Indian Art
2420,HSAR 285 01,Italian Renaissance Art
2420,ITAL 343 01,Italian Renaissance Art
2422,HSAR 401 01,Critical Approaches to Art History
2423,HSAR 405 01,Early Modern Media
2423,FILM 393 01,Early Modern Media
2423,HSHM 472 01,Early Modern Media
2423,HUMS 246 01,Early Modern Media
2424,HSAR 407 01,"In, Out, and Back: African Art Collection, Exhibition, and Restitution"
2424,ANTH 403 01,"In, Out, and Back: African Art Collection, Exhibition, and Restitution"
2424,ARCG 406 01,"In, Out, and Back: African Art Collection, Exhibition, and Restitution"
2426,HSAR 427 01,Chinese Skin Problems
2426,EAST 427 01,Chinese Skin Problems
2427,HSAR 437 01,The Global Museum
2427,ARCH 380 01,The Global Museum
2427,MMES 382 01,The Global Museum
2428,HSAR 440 01,Issues in Nineteenth-Century Sculpture
2429,HSAR 448 01,"The Long 1960s: Art, Revolution, Politics"
2430,HSAR 449 01,Nanban Art: Japan's Artistic Encounter with Early Modern Europe
2430,EAST 449 01,Nanban Art: Japan's Artistic Encounter with Early Modern Europe
2431,HSAR 455 01,Conceptualization of Space
2433,HSAR 462 01,Sculpture and the Human in the 20th Century
2433,AMST 446 01,Sculpture and the Human in the 20th Century
2434,HSAR 466 01,The Technical Examination of Art
2435,HSAR 499 01,The Senior Essay
2436,HSAR 500 01,First-Year Colloquium
2437,HSAR 527 01,Critical Approaches to African Art
2437,AFST 527 01,Critical Approaches to African Art
2438,HSAR 545 01,Methods and Approaches to the Arts of the Americas
2439,HSAR 546 01,Critical Readings in American Art
2440,HSAR 550 01,Early Indian Afterlives
2440,SAST 570 01,Early Indian Afterlives
2441,HSAR 565 01,The Media of Architecture and the Architecture of Media
2441,ARCH 3318 01,The Media of Architecture and the Architecture of Media
2442,HSAR 573 01,Advanced Topics in Modernism
2443,HSAR 596 01,Interactive Objects in the Early Modern World
2443,EMST 746 01,Interactive Objects in the Early Modern World
2444,HSAR 647 01,Perspectives on the Panorama
2444,CPLT 647 01,Perspectives on the Panorama
2444,FILM 704 01,Perspectives on the Panorama
2445,HSAR 668 01,Ekphrasis and Art Criticism
2445,ENGL 979 01,Ekphrasis and Art Criticism
2445,FREN 668 01,Ekphrasis and Art Criticism
2446,HSAR 698 01,Critical Readings in Early Modern Art
2447,HSAR 736 01,Modern Craft in America
2449,HSAR 795 01,Empire
2449,ARCH 3325 01,Empire
2451,HSHM 007 01,Science and the Senses
2451,HIST 007 01,Science and the Senses
2452,HSHM 206 01,History of Reproductive Health and Medicine in the U.S.
2452,HIST 114 01,History of Reproductive Health and Medicine in the U.S.
2453,HSHM 220 01,Histories of Confinement: From Atlantic Slavery to Social Distancing
2453,AFST 220 01,Histories of Confinement: From Atlantic Slavery to Social Distancing
2453,HIST 417 01,Histories of Confinement: From Atlantic Slavery to Social Distancing
2454,HSHM 321 01,Cultures of Western Medicine
2454,HIST 244 01,Cultures of Western Medicine
2455,HSHM 406 01,Healthcare for the Urban Poor
2455,HIST 150J 01,Healthcare for the Urban Poor
2458,HSHM 417 01,Before the Anthropocene: Global Environment in the Preindustrial World
2459,HSHM 419 01,Madness and Decolonization
2459,AFST 411 01,Madness and Decolonization
2459,HIST 163J 01,Madness and Decolonization
2460,HSHM 420 01,Senior Project Workshop
2462,HSHM 433 01,Gender and Science
2462,HIST 419J 01,Gender and Science
2462,WGSS 419 01,Gender and Science
2464,HSHM 448 01,American Medicine and the Cold War
2464,HIST 177J 01,American Medicine and the Cold War
2464,WGSS 448 01,American Medicine and the Cold War
2466,HSHM 458 01,Scientific Instruments &  the History of Science
2466,HIST 465J 01,Scientific Instruments &  the History of Science
2467,HSHM 468 01,"Sex, Life, and Generation"
2467,HIST 260J 01,"Sex, Life, and Generation"
2468,HSHM 469 01,"Biology of Humans through History, Science, and Society"
2468,MCDB 469 01,"Biology of Humans through History, Science, and Society"
2469,HSHM 470 01,Directed Reading
2472,HSHM 481 01,Medicine and Race in the Slave Trade
2472,AFAM 213 01,Medicine and Race in the Slave Trade
2472,AFST 481 01,Medicine and Race in the Slave Trade
2472,HIST 383J 01,Medicine and Race in the Slave Trade
2474,HSHM 486 01,African Systems of Thought
2474,AFST 486 01,African Systems of Thought
2474,HIST 374J 01,African Systems of Thought
2475,HSHM 490 01,Yearlong Senior Project
2476,HSHM 491 01,Yearlong Senior Project
2477,HSHM 492 01,One-Term Senior Project
2479,HSHM 497 01,Technology in American Medicine from Leeches to Surgical Robots
2479,HIST 190J 01,Technology in American Medicine from Leeches to Surgical Robots
2481,HSHM 702 01,Problems in the History of Science
2481,HIST 931 01,Problems in the History of Science
2482,HSHM 703 01,Problems in the History of Medicine and Public Health
2482,AMST 877 01,Problems in the History of Medicine and Public Health
2482,HIST 926 01,Problems in the History of Medicine and Public Health
2483,HSHM 717 01,Early Modern Studies Practicum
2483,EMST 817 01,Early Modern Studies Practicum
2483,HIST 923 01,Early Modern Studies Practicum
2486,HSHM 770 01,Disability Histories: Research Seminar
2486,HIST 940 01,Disability Histories: Research Seminar
2486,WGSS 782 01,Disability Histories: Research Seminar
2487,HSHM 775 01,"The Afterlives of Slavery, Health, and Medicine"
2487,AFAM 929 01,"The Afterlives of Slavery, Health, and Medicine"
2488,HSHM 790 01,HSHM Program Seminar
2489,HSHM 920 01,Independent Reading
2490,HSHM 930 01,Independent Research
2492,HUMS 022 01,Six Pretty Good Biographers
2492,ENGL 032 01,Six Pretty Good Biographers
2493,HUMS 023 01,Six Pretty Good Visions
2497,HUMS 059 01,"Why the Sublime? Or, The Meaning and Value of Transcendence through Theory, Poetry, and Art"
2498,HUMS 060 01,Novel Novels
2499,HUMS 065 01,Education and the Life Worth Living
2499,EDST 065 01,Education and the Life Worth Living
2500,HUMS 073 01,Classical Storytelling in the Modern World
2501,HUMS 075 01,Mastering the Art of Watercolor
2502,HUMS 096 01,"Collecting History: ""Treasures"" of Yale"
2503,HUMS 115 01,Purposes of College Education
2503,LITR 101 01,Purposes of College Education
2506,HUMS 129 01,Jesus to Muhammad: Ancient Christianity to the Rise of Islam
2510,HUMS 193 01,Screening the Past
2510,HIST 265J 01,Screening the Past
2512,HUMS 199 01,American Romanticism: Emerson to Ashbery
2512,ENGL 315 01,American Romanticism: Emerson to Ashbery
2516,HUMS 231 01,Poetic Influence from Shakespeare to the Twenty-First Century
2518,HUMS 237 01,Modernities: Past and Present in Fiction since 1789
2518,ENGL 292 01,Modernities: Past and Present in Fiction since 1789
2519,HUMS 244 01,"Love, Marriage, Family: A Psychological Study through the Arts"
2520,HUMS 245 01,Poets and their Papers
2520,AMST 241 01,Poets and their Papers
