id,date,count
5000,11/20,0
5000,11/21,0
5000,11/22,0
5000,11/23,0
5000,11/24,0
5000,11/25,0
5000,11/26,0
5000,11/27,0
5001,11/20,0
5001,11/21,0
5001,11/22,0
5001,11/23,0
5001,11/24,0
5001,11/25,0
5001,11/26,0
5001,11/27,0
5002,11/20,0
5002,11/21,0
5002,11/22,0
5002,11/23,0
5002,11/24,0
5002,11/25,0
5002,11/26,0
5002,11/27,0
5003,11/20,2
5003,11/21,2
5003,11/22,3
5003,11/23,3
5003,11/24,3
5003,11/25,3
5003,11/26,3
5003,11/27,3
5004,11/20,1
5004,11/21,1
5004,11/22,1
5004,11/23,1
5004,11/24,1
5004,11/25,1
5004,11/26,2
5004,11/27,2
5005,11/20,1
5005,11/21,1
5005,11/22,1
5005,11/23,1
5005,11/24,1
5005,11/25,1
5005,11/26,1
5005,11/27,1
5006,11/20,3
5006,11/21,3
5006,11/22,3
5006,11/23,3
5006,11/24,3
5006,11/25,3
5006,11/26,3
5006,11/27,3
5007,11/20,10
5007,11/21,9
5007,11/22,10
5007,11/23,10
5007,11/24,10
5007,11/25,10
5007,11/26,10
5007,11/27,10
5008,11/20,2
5008,11/21,2
5008,11/22,2
5008,11/23,2
5008,11/24,2
5008,11/25,2
5008,11/26,2
5008,11/27,2
5009,11/20,4
5009,11/21,4
5009,11/22,4
5009,11/23,4
5009,11/24,4
5009,11/25,3
5009,11/26,3
5009,11/27,3
5010,11/20,0
5010,11/21,0
5010,11/22,0
5010,11/23,0
5010,11/24,0
5010,11/25,0
5010,11/26,0
5010,11/27,0
5011,11/20,3
5011,11/21,3
5011,11/22,3
5011,11/23,3
5011,11/24,3
5011,11/25,3
5011,11/26,3
5011,11/27,3
5012,11/20,12
5012,11/21,12
5012,11/22,12
5012,11/23,12
5012,11/24,12
5012,11/25,12
5012,11/26,12
5012,11/27,12
5013,11/20,37
5013,11/21,37
5013,11/22,37
5013,11/23,37
5013,11/24,37
5013,11/25,37
5013,11/26,37
5013,11/27,37
5014,11/20,0
5014,11/21,0
5014,11/22,0
5014,11/23,0
5014,11/24,0
5014,11/25,0
5014,11/26,0
5014,11/27,0
5015,11/20,7
5015,11/21,8
5015,11/22,8
5015,11/23,8
5015,11/24,9
5015,11/25,9
5015,11/26,9
5015,11/27,9
5016,11/20,3
5016,11/21,3
5016,11/22,3
5016,11/23,3
5016,11/24,3
5016,11/25,3
5016,11/26,3
5016,11/27,3
5017,11/20,0
5017,11/21,0
5017,11/22,0
5017,11/23,0
5017,11/24,0
5017,11/25,0
5017,11/26,0
5017,11/27,0
5018,11/20,1
5018,11/21,1
5018,11/22,1
5018,11/23,1
5018,11/24,1
5018,11/25,2
5018,11/26,2
5018,11/27,2
5019,11/20,2
5019,11/21,2
5019,11/22,2
5019,11/23,2
5019,11/24,2
5019,11/25,3
5019,11/26,3
5019,11/27,3
5020,11/20,0
5020,11/21,0
5020,11/22,0
5020,11/23,0
5020,11/24,0
5020,11/25,0
5020,11/26,0
5020,11/27,0
5021,11/20,0
5021,11/21,0
5021,11/22,0
5021,11/23,0
5021,11/24,0
5021,11/25,0
5021,11/26,0
5021,11/27,0
5022,11/20,0
5022,11/21,0
5022,11/22,0
5022,11/23,0
5022,11/24,0
5022,11/25,0
5022,11/26,0
5022,11/27,0
5025,11/20,7
5025,11/21,7
5025,11/22,7
5025,11/23,7
5025,11/24,7
5025,11/25,7
5025,11/26,7
5025,11/27,7
5026,11/20,0
5026,11/21,0
5026,11/22,0
5026,11/23,0
5026,11/24,0
5026,11/25,0
5026,11/26,0
5026,11/27,0
5027,11/20,0
5027,11/21,0
5027,11/22,0
5027,11/23,0
5027,11/24,0
5027,11/25,0
5027,11/26,0
5027,11/27,0
5028,11/20,0
5028,11/21,0
5028,11/22,0
5028,11/23,0
5028,11/24,0
5028,11/25,0
5028,11/26,0
5028,11/27,0
5029,11/20,78
5029,11/21,79
5029,11/22,78
5029,11/23,78
5029,11/24,79
5029,11/25,79
5029,11/26,79
5029,11/27,79
5030,11/20,70
5030,11/21,70
5030,11/22,68
5030,11/23,68
5030,11/24,68
5030,11/25,68
5030,11/26,67
5030,11/27,66
5031,11/20,12
5031,11/21,12
5031,11/22,12
5031,11/23,12
5031,11/24,13
5031,11/25,13
5031,11/26,14
5031,11/27,14
5032,11/20,27
5032,11/21,27
5032,11/22,27
5032,11/23,27
5032,11/24,28
5032,11/25,29
5032,11/26,29
5032,11/27,29
5033,11/20,37
5033,11/21,38
5033,11/22,40
5033,11/23,40
5033,11/24,40
5033,11/25,40
5033,11/26,40
5033,11/27,40
5034,11/20,14
5034,11/21,13
5034,11/22,13
5034,11/23,13
5034,11/24,13
5034,11/25,15
5034,11/26,15
5034,11/27,15
5036,11/20,22
5036,11/21,22
5036,11/22,22
5036,11/23,21
5036,11/24,22
5036,11/25,20
5036,11/26,19
5036,11/27,20
5037,11/20,14
5037,11/21,14
5037,11/22,14
5037,11/23,14
5037,11/24,15
5037,11/25,14
5037,11/26,14
5037,11/27,14
5038,11/20,28
5038,11/21,28
5038,11/22,29
5038,11/23,28
5038,11/24,28
5038,11/25,29
5038,11/26,28
5038,11/27,28
5039,11/20,60
5039,11/21,61
5039,11/22,62
5039,11/23,64
5039,11/24,66
5039,11/25,66
5039,11/26,67
5039,11/27,67
5040,11/20,1
5040,11/21,1
5040,11/22,1
5040,11/23,1
5040,11/24,1
5040,11/25,1
5040,11/26,1
5040,11/27,1
5043,11/20,8
5043,11/21,10
5043,11/22,10
5043,11/23,10
5043,11/24,10
5043,11/25,10
5043,11/26,10
5043,11/27,10
5046,11/20,6
5046,11/21,7
5046,11/22,7
5046,11/23,7
5046,11/24,7
5046,11/25,7
5046,11/26,7
5046,11/27,7
5047,11/20,2
5047,11/21,2
5047,11/22,2
5047,11/23,2
5047,11/24,2
5047,11/25,2
5047,11/26,2
5047,11/27,2
5048,11/20,8
5048,11/21,9
5048,11/22,9
5048,11/23,9
5048,11/24,9
5048,11/25,9
5048,11/26,9
5048,11/27,9
5049,11/20,15
5049,11/21,15
5049,11/22,15
5049,11/23,15
5049,11/24,15
5049,11/25,15
5049,11/26,15
5049,11/27,15
5050,11/20,7
5050,11/21,7
5050,11/22,9
5050,11/23,9
5050,11/24,9
5050,11/25,9
5050,11/26,9
5050,11/27,9
5051,11/20,14
5051,11/21,14
5051,11/22,14
5051,11/23,14
5051,11/24,14
5051,11/25,14
5051,11/26,14
5051,11/27,14
5053,11/20,7
5053,11/21,7
5053,11/22,7
5053,11/23,7
5053,11/24,7
5053,11/25,8
5053,11/26,9
5053,11/27,10
5055,11/20,8
5055,11/21,8
5055,11/22,8
5055,11/23,8
5055,11/24,8
5055,11/25,8
5055,11/26,8
5055,11/27,8
5056,11/20,0
5056,11/21,1
5056,11/22,1
5056,11/23,1
5056,11/24,1
5056,11/25,1
5056,11/26,1
5056,11/27,1
5057,11/20,7
5057,11/21,7
5057,11/22,7
5057,11/23,7
5057,11/24,7
5057,11/25,7
5057,11/26,7
5057,11/27,7
5059,11/20,3
5059,11/21,3
5059,11/22,3
5059,11/23,3
5059,11/24,3
5059,11/25,3
5059,11/26,3
5059,11/27,3
5060,11/20,3
5060,11/21,3
5060,11/22,3
5060,11/23,3
5060,11/24,3
5060,11/25,3
5060,11/26,3
5060,11/27,3
5061,11/20,8
5061,11/21,8
5061,11/22,8
5061,11/23,9
5061,11/24,9
5061,11/25,10
5061,11/26,10
5061,11/27,10
5062,11/20,10
5062,11/21,10
5062,11/22,10
5062,11/23,10
5062,11/24,10
5062,11/25,10
5062,11/26,10
5062,11/27,10
5063,11/20,0
5063,11/21,0
5063,11/22,0
5063,11/23,0
5063,11/24,0
5063,11/25,0
5063,11/26,0
5063,11/27,0
5064,11/20,7
5064,11/21,7
5064,11/22,7
5064,11/23,7
5064,11/24,8
5064,11/25,8
5064,11/26,8
5064,11/27,8
5065,11/20,4
5065,11/21,4
5065,11/22,4
5065,11/23,4
5065,11/24,5
5065,11/25,5
5065,11/26,5
5065,11/27,5
5070,11/20,0
5070,11/21,0
5070,11/22,0
5070,11/23,0
5070,11/24,0
5070,11/25,0
5070,11/26,0
5070,11/27,0
5071,11/20,15
5071,11/21,15
5071,11/22,15
5071,11/23,15
5071,11/24,15
5071,11/25,15
5071,11/26,15
5071,11/27,15
5072,11/20,24
5072,11/21,26
5072,11/22,26
5072,11/23,25
5072,11/24,25
5072,11/25,25
5072,11/26,25
5072,11/27,25
5073,11/20,173
5073,11/21,189
5073,11/22,190
5073,11/23,190
5073,11/24,190
5073,11/25,191
5073,11/26,192
5073,11/27,192
5076,11/20,25
5076,11/21,26
5076,11/22,26
5076,11/23,26
5076,11/24,26
5076,11/25,27
5076,11/26,27
5076,11/27,27
5077,11/20,17
5077,11/21,18
5077,11/22,18
5077,11/23,18
5077,11/24,19
5077,11/25,19
5077,11/26,19
5077,11/27,19
5078,11/20,14
5078,11/21,14
5078,11/22,15
5078,11/23,15
5078,11/24,15
5078,11/25,15
5078,11/26,15
5078,11/27,15
5079,11/20,6
5079,11/21,6
5079,11/22,6
5079,11/23,6
5079,11/24,6
5079,11/25,7
5079,11/26,8
5079,11/27,8
5080,11/20,11
5080,11/21,10
5080,11/22,10
5080,11/23,10
5080,11/24,10
5080,11/25,10
5080,11/26,10
5080,11/27,10
5081,11/20,35
5081,11/21,35
5081,11/22,35
5081,11/23,34
5081,11/24,34
5081,11/25,34
5081,11/26,34
5081,11/27,34
5082,11/20,15
5082,11/21,16
5082,11/22,16
5082,11/23,16
5082,11/24,16
5082,11/25,16
5082,11/26,16
5082,11/27,16
5084,11/20,30
5084,11/21,30
5084,11/22,31
5084,11/23,31
5084,11/24,30
5084,11/25,30
5084,11/26,30
5084,11/27,30
5085,11/20,0
5085,11/21,0
5085,11/22,0
5085,11/23,0
5085,11/24,0
5085,11/25,0
5085,11/26,0
5085,11/27,0
5086,11/20,16
5086,11/21,16
5086,11/22,16
5086,11/23,16
5086,11/24,16
5086,11/25,16
5086,11/26,16
5086,11/27,16
5087,11/20,9
5087,11/21,9
5087,11/22,9
5087,11/23,10
5087,11/24,10
5087,11/25,10
